1384104226158 f0:d1:a9:12:1c:b0 -71 2462 
1384104226158 f0:d1:a9:14:d7:d6 -71 2412 
1384104226158 0c:68:03:e4:4e:72 -77 2412 AirBears2
1384104226158 0c:68:03:e4:4e:70 -77 2412 AirBears
1384104226158 0c:68:03:b8:95:32 -77 2437 AirBears2
1384104226158 0c:68:03:b8:95:31 -78 2437 attwifi
1384104226158 0c:68:03:b8:3d:f2 -82 2462 AirBears2
1384104226158 0c:68:03:b8:3d:f0 -82 2462 AirBears
1384104226158 0c:68:03:ea:10:22 -83 2437 AirBears2
1384104226158 0c:68:03:b8:3d:f1 -83 2462 attwifi
1384104226158 0c:68:03:b8:a6:e2 -84 2462 AirBears2
1384104226158 0c:68:03:ea:07:cf -84 5180 AirBears
1384104226158 0c:68:03:ea:10:20 -84 2437 AirBears
1384104226158 0c:68:03:b8:a6:e1 -85 2462 attwifi
1384104226158 0c:68:03:ea:10:21 -85 2437 attwifi
1384104226158 0c:68:03:d6:bc:c1 -85 2462 attwifi
1384104226158 0c:68:03:e4:4e:7f -86 5180 AirBears
1384104226158 f0:d1:a9:15:96:90 -86 2462 
1384104226158 90:84:0d:da:23:63 -86 2462 AckPort
1384104226158 0c:68:03:ea:07:ce -86 5180 attwifi
1384104226158 0c:68:03:b8:a6:ed -87 5745 AirBears2
1384104226158 0c:68:03:b8:a6:ef -87 5745 AirBears
1384104226158 0c:68:03:ea:05:41 -87 2462 attwifi
1384104226158 0c:68:03:ea:05:40 -87 2462 AirBears
1384104226158 0c:68:03:b8:a6:ee -88 5745 attwifi
1384104226158 0c:68:03:ea:10:2e -88 5500 attwifi
1384104226158 0c:68:03:d6:bc:c0 -88 2462 AirBears
1384104226158 0c:68:03:ea:05:4d -89 5320 AirBears2
1384104226158 0c:68:03:b8:a4:a2 -89 2462 AirBears2
1384104226158 0c:68:03:ea:10:2d -90 5500 AirBears2
1384104226158 0c:68:03:b8:a4:22 -90 2462 AirBears2
1384104226158 0c:68:03:ea:10:2f -90 5500 AirBears
1384104226158 0c:68:03:ea:05:4f -90 5320 AirBears
1384104226158 0c:68:03:b8:a4:21 -91 2462 attwifi
1384104226158 00:1c:b3:af:99:06 -92 2437 MVZ-GIS
1384104226158 00:21:29:76:24:a6 -92 2437 SimmsLab
1384104226158 00:23:cd:f3:8d:50 -92 2437 looy_lab
1384104226158 00:0f:b5:af:b2:4e -92 2462 TDPS Grad Lounge
1384104226158 f0:d1:a9:15:96:91 -93 5785 
1384104236692 f0:d1:a9:14:d7:d6 -68 2412 
1384104236692 f0:d1:a9:12:1c:b0 -74 2462 
1384104236692 0c:68:03:b8:95:31 -78 2437 attwifi
1384104236692 0c:68:03:b8:95:32 -79 2437 AirBears2
1384104236692 0c:68:03:b8:3d:f0 -79 2462 AirBears
1384104236692 0c:68:03:b8:95:30 -79 2437 AirBears
1384104236692 0c:68:03:b8:3d:f2 -80 2462 AirBears2
1384104236692 0c:68:03:b8:3d:f1 -80 2462 attwifi
1384104236692 0c:68:03:ea:07:cd -82 5180 AirBears2
1384104236692 0c:68:03:e4:4e:72 -83 2412 AirBears2
1384104236692 0c:68:03:e4:4e:70 -83 2412 AirBears
1384104236692 0c:68:03:ea:07:cf -83 5180 AirBears
1384104236692 0c:68:03:ea:07:ce -83 5180 attwifi
1384104236692 0c:68:03:e4:4e:7f -86 5180 AirBears
1384104236692 00:21:29:76:24:a6 -86 2437 SimmsLab
1384104236692 0c:68:03:ea:05:41 -86 2462 attwifi
1384104236692 0c:68:03:b8:3d:fd -86 5320 AirBears2
1384104236692 0c:68:03:b8:a6:ee -87 5745 attwifi
1384104236692 0c:68:03:b8:a6:ef -87 5745 AirBears
1384104236692 0c:68:03:b8:a6:e1 -87 2462 attwifi
1384104236692 0c:68:03:ea:10:22 -87 2437 AirBears2
1384104236692 0c:68:03:ea:05:40 -87 2462 AirBears
1384104236692 0c:68:03:b8:3d:ff -87 5320 AirBears
1384104236692 0c:68:03:b8:3d:fe -87 5320 attwifi
1384104236692 0c:68:03:d6:bc:c1 -88 2462 attwifi
1384104236692 0c:68:03:b8:a6:e2 -89 2462 AirBears2
1384104236692 0c:68:03:d6:bc:c0 -89 2462 AirBears
1384104236692 0c:68:03:b8:a4:21 -89 2462 attwifi
1384104236692 0c:68:03:d6:c1:b2 -89 2412 AirBears2
1384104236692 0c:68:03:b8:a4:20 -89 2462 AirBears
1384104236692 f0:d1:a9:15:96:91 -90 5785 
1384104236692 0c:68:03:b8:a4:22 -90 2462 AirBears2
1384104236692 0c:68:03:ea:05:4f -90 5320 AirBears
1384104236692 0c:68:03:d6:42:d1 -90 2462 attwifi
1384104236692 0c:68:03:ea:05:4e -91 5320 attwifi
1384104236692 00:0f:b5:af:b2:4e -92 2462 TDPS Grad Lounge
1384104236692 08:86:3b:19:c0:60 -92 2462 Kriegsfeld
1384104236692 0c:68:03:b8:95:3e -92 5745 attwifi
1384104238982 f0:d1:a9:14:d7:d6 -68 2412 
1384104238982 f0:d1:a9:12:1c:b0 -71 2462 
1384104238982 0c:68:03:b8:95:32 -78 2437 AirBears2
1384104238982 0c:68:03:b8:95:31 -78 2437 attwifi
1384104238982 0c:68:03:b8:3d:f1 -78 2462 attwifi
1384104238982 0c:68:03:b8:95:30 -78 2437 AirBears
1384104238982 0c:68:03:b8:3d:f0 -79 2462 AirBears
1384104238982 0c:68:03:b8:3d:f2 -80 2462 AirBears2
1384104238982 0c:68:03:ea:07:cd -82 5180 AirBears2
1384104238982 0c:68:03:e4:4e:72 -83 2412 AirBears2
1384104238982 0c:68:03:e4:4e:70 -83 2412 AirBears
1384104238982 0c:68:03:ea:07:cf -83 5180 AirBears
1384104238982 0c:68:03:ea:07:ce -83 5180 attwifi
1384104238982 f0:d1:a9:15:96:90 -83 2462 
1384104238982 0c:68:03:ea:05:42 -86 2462 AirBears2
1384104238982 0c:68:03:ea:10:20 -86 2437 AirBears
1384104238982 0c:68:03:b8:a6:ee -87 5745 attwifi
1384104238982 0c:68:03:b8:a6:ef -87 5745 AirBears
1384104238982 0c:68:03:b8:a6:e1 -87 2462 attwifi
1384104238982 0c:68:03:ea:10:22 -87 2437 AirBears2
1384104238982 0c:68:03:ea:05:41 -87 2462 attwifi
1384104238982 0c:68:03:ea:05:40 -87 2462 AirBears
1384104238982 0c:68:03:b8:3d:ff -87 5320 AirBears
1384104238982 0c:68:03:b8:a6:ed -87 5745 AirBears2
1384104238982 0c:68:03:b8:a6:e2 -88 2462 AirBears2
1384104238982 0c:68:03:d6:bc:c1 -88 2462 attwifi
1384104238982 0c:68:03:b8:a4:21 -88 2462 attwifi
1384104238982 0c:68:03:b8:3d:fd -88 5320 AirBears2
1384104238982 0c:68:03:b8:3d:fe -88 5320 attwifi
1384104238982 00:21:29:76:24:a6 -89 2437 SimmsLab
1384104238982 00:0f:b5:af:b2:4e -89 2462 TDPS Grad Lounge
1384104238982 0c:68:03:d6:bc:c0 -89 2462 AirBears
1384104238982 0c:68:03:d6:c1:b2 -89 2412 AirBears2
1384104238982 0c:68:03:b8:a4:20 -89 2462 AirBears
1384104238982 f0:d1:a9:15:96:91 -90 5785 
1384104238982 0c:68:03:b8:a4:22 -90 2462 AirBears2
1384104238982 0c:68:03:ea:05:4f -90 5320 AirBears
1384104238982 0c:68:03:d6:42:d1 -90 2462 attwifi
1384104238982 0c:68:03:ea:05:4e -91 5320 attwifi
1384104238982 08:86:3b:19:c0:60 -92 2462 Kriegsfeld
1384104238982 0c:68:03:b8:95:3e -92 5745 attwifi
1384104250153 f0:d1:a9:14:d7:d6 -72 2412 
1384104250153 0c:68:03:b8:95:30 -78 2437 AirBears
1384104250153 0c:68:03:b8:95:32 -80 2437 AirBears2
1384104250153 0c:68:03:b8:95:31 -80 2437 attwifi
1384104250153 0c:68:03:e4:4e:72 -81 2412 AirBears2
1384104250153 0c:68:03:ea:07:cf -83 5180 AirBears
1384104250153 0c:68:03:ea:07:ce -83 5180 attwifi
1384104250153 00:23:cd:f3:8d:50 -84 2437 looy_lab
1384104250153 f0:d1:a9:14:d7:d7 -85 5785 
1384104250153 0c:68:03:b8:a6:e1 -86 2462 attwifi
1384104250153 00:0f:b5:af:b2:4e -86 2462 TDPS Grad Lounge
1384104250153 08:86:3b:19:c0:60 -86 2462 Kriegsfeld
1384104250153 0c:68:03:ea:10:20 -86 2437 AirBears
1384104250153 0c:68:03:d6:42:d1 -87 2462 attwifi
1384104250153 0c:68:03:b8:a6:e0 -87 2462 AirBears
1384104250153 0c:68:03:b8:a6:ef -88 5745 AirBears
1384104250153 0c:68:03:b8:a6:ee -89 5745 attwifi
1384104250153 0c:68:03:b8:3d:ff -89 5320 AirBears
1384104250153 0c:68:03:b8:3d:fe -89 5320 attwifi
1384104250153 0c:68:03:ea:10:2f -89 5500 AirBears
1384104250153 0c:68:03:ea:07:c1 -89 2412 attwifi
1384104250153 0c:68:03:b8:3d:fd -90 5320 AirBears2
1384104250153 0c:68:03:ea:10:2d -90 5500 AirBears2
1384104250153 f0:d1:a9:12:1c:b1 -90 5785 
1384104250153 0c:68:03:ea:10:2e -90 5500 attwifi
1384104250153 0c:68:03:ea:07:c0 -90 2412 AirBears
1384104250153 0c:68:03:b8:95:3d -91 5745 AirBears2
1384104250153 00:21:29:76:24:a6 -93 2437 SimmsLab
1384104250153 00:1c:b3:af:99:06 -93 2437 MVZ-GIS
1384104255123 f0:d1:a9:14:d7:d6 -71 2412 
1384104255123 f0:d1:a9:12:1c:b0 -71 2462 
1384104255123 0c:68:03:b8:95:31 -77 2437 attwifi
1384104255123 0c:68:03:b8:95:32 -78 2437 AirBears2
1384104255123 0c:68:03:b8:95:30 -78 2437 AirBears
1384104255123 0c:68:03:e4:4e:72 -80 2412 AirBears2
1384104255123 0c:68:03:e4:4e:71 -80 2412 attwifi
1384104255123 0c:68:03:e4:4e:70 -81 2412 AirBears
1384104255123 0c:68:03:b8:3d:f1 -81 2462 attwifi
1384104255123 f0:d1:a9:14:d7:d7 -84 5785 
1384104255123 0c:68:03:ea:10:22 -84 2437 AirBears2
1384104255123 0c:68:03:ea:10:20 -85 2437 AirBears
1384104255123 0c:68:03:b8:a6:e0 -85 2462 AirBears
1384104255123 0c:68:03:ea:07:cf -86 5180 AirBears
1384104255123 08:86:3b:19:c0:60 -86 2462 Kriegsfeld
1384104255123 0c:68:03:ea:05:40 -86 2462 AirBears
1384104255123 0c:68:03:b8:3d:fd -87 5320 AirBears2
1384104255123 0c:68:03:ea:10:2d -87 5500 AirBears2
1384104255123 0c:68:03:ea:10:2e -87 5500 attwifi
1384104255123 0c:68:03:b8:a6:ed -87 5745 AirBears2
1384104255123 0c:68:03:b8:a6:ef -88 5745 AirBears
1384104255123 0c:68:03:b8:3d:fe -88 5320 attwifi
1384104255123 0c:68:03:b8:95:3d -88 5745 AirBears2
1384104255123 0c:68:03:ea:10:2f -88 5500 AirBears
1384104255123 0c:68:03:e4:4e:7f -88 5180 AirBears
1384104255123 0c:68:03:ea:05:41 -88 2462 attwifi
1384104255123 0c:68:03:d6:bc:c0 -88 2462 AirBears
1384104255123 0c:68:03:b8:a6:ee -89 5745 attwifi
1384104255123 0c:68:03:b8:3d:ff -89 5320 AirBears
1384104255123 f0:d1:a9:12:1c:b1 -89 5785 
1384104255123 0c:68:03:e4:4e:7d -90 5180 AirBears2
1384104255123 0c:68:03:b8:a4:20 -91 2462 AirBears
1384104255123 00:0f:b5:af:b2:4e -92 2462 TDPS Grad Lounge
1384104255123 f0:d1:a9:15:96:90 -92 2462 
1384104260141 f0:d1:a9:14:d7:d6 -68 2412 
1384104260141 0c:68:03:b8:95:30 -77 2437 AirBears
1384104260141 0c:68:03:b8:95:32 -78 2437 AirBears2
1384104260141 0c:68:03:b8:95:31 -78 2437 attwifi
